"State Name";;;;;"Img Process";"Img Process";"Img Process";"Img Process"
"Step Name";;;;;"Find Primary Centre";"Find Primary Centre";"Find Ghost centre";"Find Ghost centre"
"Result Name";;;;;"Center.X Position (Pixel)";"Center.Y Position (Pixel)";"Center.X Position (Pixel)";"Center.Y Position (Pixel)"
Units;;;;;pix;pix;pix;pix
Iteration;Date;Time;"Time (milliseconds)";Status
1;2026/05/27;10:32:30,318;;Pass;1831,84949;2091,16528;1833,03650;2080,24927
1;2026/05/27;10:32:30,390;;Pass;750,72675;1591,29944;753,05811;1579,65002
1;2026/05/27;10:32:30,460;;Pass;728,71448;1368,56641;730,59924;1358,11462
1;2026/05/27;10:32:30,527;;Pass;1406,05420;1934,36511;1407,58435;1923,99377
1;2026/05/27;10:32:30,594;;Pass;1512,68799;1946,29858;1514,69177;1935,43738
1;2026/05/27;10:32:30,676;;Pass;1732,08911;1540,70081;1734,39319;1529,36584
1;2026/05/27;10:32:30,750;;Pass;1620,08411;1959,43762;1621,27026;1947,89294
1;2026/05/27;10:32:30,819;;Pass;1732,08398;1653,71240;1734,31189;1642,01343
1;2026/05/27;10:32:30,933;;Pass;1300,18970;1924,33093;1301,35693;1913,93677
1;2026/05/27;10:32:31,003;;Pass;979,06598;1804,52966;980,83057;1793,37646
1;2026/05/27;10:32:31,073;;Pass;1093,98840;2012,73010;1095,45837;2002,76294
1;2026/05/27;10:32:31,143;;Pass;1403,79785;1833,22046;1405,74304;1820,97766
1;2026/05/27;10:32:31,210;;Pass;1724,96887;2074,90259;1727,22803;2063,92383
1;2026/05/27;10:32:31,281;;Pass;948,91431;1368,56226;950,30719;1358,19763
1;2026/05/27;10:32:31,389;;Pass;1197,73218;2019,12036;1199,47815;2008,37939
1;2026/05/27;10:32:31,462;;Pass;873,88324;1801,68335;874,78680;1790,67053
1;2026/05/27;10:32:31,532;;Pass;1618,73145;2060,20142;1619,79053;2049,13232
1;2026/05/27;10:32:31,604;;Pass;1194,34985;1916,82874;1196,38745;1906,76062
1;2026/05/27;10:32:31,677;;Pass;1089,51770;1911,31067;1090,89197;1900,26501
1;2026/05/27;10:32:31,751;;Pass;1843,22607;1556,55981;1845,08240;1545,68396
1;2026/05/27;10:32:31,827;;Pass;770,44977;1800,08252;771,81433;1789,40820
1;2026/05/27;10:32:31,902;;Pass;1512,88635;2047,35950;1514,73120;2036,10107
1;2026/05/27;10:32:31,979;;Pass;1302,42175;2027,07092;1303,95544;2016,01465
1;2026/05/27;10:32:32,057;;Pass;991,74762;2007,19275;993,38867;1997,53870
1;2026/05/27;10:32:32,133;;Pass;1407,51160;2036,28418;1408,71411;2025,95752
1;2026/05/27;10:32:32,210;;Pass;1506,49036;1399,62402;1507,89880;1388,29211
1;2026/05/27;10:32:32,289;;Pass;1296,54028;1824,19226;1298,09436;1811,43872
1;2026/05/27;10:32:32,367;;Pass;1619,69556;1411,25989;1621,20471;1399,67517
1;2026/05/27;10:32:32,444;;Pass;888,86792;2003,77173;890,35962;1993,53943
1;2026/05/27;10:32:32,519;;Pass;985,56036;1906,95520;986,68054;1895,11218
1;2026/05/27;10:32:32,596;;Pass;1842,34863;1670,52002;1844,24927;1659,05249
1;2026/05/27;10:32:32,673;;Pass;1084,26270;1809,20251;1086,18640;1797,48962
1;2026/05/27;10:32:32,748;;Pass;787,97528;2001,42871;788,95978;1991,44189
1;2026/05/27;10:32:32,826;;Pass;1732,26941;1424,37158;1734,55212;1413,12708
1;2026/05/27;10:32:32,904;;Pass;1190,39673;1816,16174;1191,25464;1804,04187
1;2026/05/27;10:32:32,985;;Pass;881,49371;1903,94067;883,69446;1892,81128
1;2026/05/27;10:32:33,065;;Pass;1844,52844;1438,62036;1846,69702;1427,38379
1;2026/05/27;10:32:33,143;;Pass;779,29041;1902,31812;780,35071;1891,15906
